"Provincia","pct_paredes_ladrillo","pct_techos_concreto","pct_pisos_precario","pct_pisos_buenos","indice_algebraico","indice_aritmetico"
"Huánuco, provincia: Huamalíes",5.63886815498405,1.46569858180091,99.6946461287915,0.305353871208524,-0.811922723941064,-0.779025862271362
"Cajamarca, provincia: San Pablo",3.69850187265918,2.05992509363296,99.3133583021223,0.686641697877661,-0.812970463318696,-0.780285776797159
"Ayacucho, provincia: Vilcas Huamán",3.36107032142274,2.74106705824767,99.5594713656388,0.440528634361243,-0.814469740677111,-0.781869846311841
"Huánuco, provincia: Dos De Mayo",3.64457514966915,2.13212897804852,99.4328326856423,0.567167314357732,-0.817298788797206,-0.784459751438033
"Áncash, provincia: Sihuas",3.38094614074171,1.95256191849037,99.3316734372952,0.668326562704763,-0.820662352919297,-0.787679837162276
"La Lbertad, provincia: Santiago de Chuco",4.45780482440062,1.93562577901606,99.7287191143046,0.271280885695433,-0.821473675911596,-0.78837248284434
"Huánuco, provincia: Marañón",5.58454378790015,0.930757297983359,99.7602594838528,0.239740516147222,-0.826327252942202,-0.792772905867369
"La Lbertad, provincia: Otuzco",2.96553219163234,2.0247127682636,99.4450466074138,0.554953392586171,-0.830143235703265,-0.796830854186988
"Áncash, provincia: Pomabamba",3.2258064516129,1.80011520737327,99.6687788018433,0.331221198156683,-0.840146061377131,-0.806379352190735
"Amazonas, provincia: Luya",3.37069844007212,1.46586187975229,99.6080583209218,0.391941679078158,-0.842226400918901,-0.80830841555995
"Apurímac, provincia: Grau",3.424168925667,1.85475816806962,99.8430589242403,0.156941075759747,-0.843345181339483,-0.809446096669634
"Piura, provincia: Huancabamba",2.97099363586939,1.14170584284755,99.4595286066072,0.540471393392821,-0.848581372888947,-0.814387273095968
"Piura, provincia: Ayabaca",3.05298404569628,1.11942748342197,99.5141487755236,0.485851224476392,-0.850086999645532,-0.815823180969948
"Loreto, provincia: Putumayo",4.71142520612485,0.117785630153121,99.8233215547703,0.176678445229683,-0.858511552166907,-0.823612711547798
